# ----------------------------------------
# Vue d'ensemble "Comprendre le trafic Web et/ou dans votre application"
# Compte : H Sèchement
# Propriété : H Sèchement 
# ----------------------------------------
#  
# Date de début : 20250101
# Date de fin : 20250726
Identifiant du pays,Utilisateurs actifs
0178,0,0,0.1891891891891892
0179,0,0,0.18181818181818182
0180,0.03125,0.25,0.125
0181,0.03225806451612903,0.3333333333333333,0.0967741935483871
0182,0.06451612903225806,0.5,0.12903225806451613
0183,0.03333333333333333,0.2,0.16666666666666666
0184,0.09090909090909091,0.42857142857142855,0.21212121212121213
0185,0,0,0.21212121212121213
0186,0.03125,0.125,0.25
0187,0,0,0.25806451612903225
0188,0.0625,0.2222222222222222,0.28125
0189,0.16666666666666666,0.5454545454545454,0.3055555555555556
0190,0.029411764705882353,0.1,0.29411764705882354
0191,0.029411764705882353,0.125,0.23529411764705882
0192,0.030303030303030304,0.125,0.24242424242424243
0193,0,0,0.2413793103448276
0194,0.06451612903225806,0.2222222222222222,0.2903225806451613
0195,0.06451612903225806,0.18181818181818182,0.3548387096774194
0196,0.06666666666666667,0.25,0.26666666666666666
0197,0.125,0.3333333333333333,0.375
0198,0.09375,0.23076923076923078,0.40625
0199,0.030303030303030304,0.07692307692307693,0.3939393939393939
0200,0,0,0.40625
0201,0,0,0.34375
0202,0,0,0.2903225806451613
0203,0,0,0.27586206896551724
0204,0.03571428571428571,0.2,0.17857142857142858
0205,0,0,0.07407407407407407
0206,0,0,0.037037037037037035

#  
# Date de début : 20250101
# Date de fin : 20250726
Langue,Utilisateurs actifs
French,126
English,107
Chinese,3
Japanese,3
Korean,2
Greek,1
Turkish,1
